Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Learning Java,211015340,84.99,Marc Loy,O'Reilly Media,2023,, (6th ed.),"Ideal for working programmers new to Java, this best-selling book guides you through the language features and APIs of Java 21. Through fun, compelling, and realistic examples, authors Marc Loy, Patrick Niemeyer, and Dan Leuck introduce you to Java's fundamentals, including its class libraries, programming techniques, and idioms, with an eye...",True,2023-08-16T00:00:00,Aug 2023,3,97,150,Program_lang
Python and HDF5,1489987,25.99,Andrew Collette,O'Reilly Media,2013,Unlocking Scientific Data,,"Gain hands-on experience with HDF5 for storing scientific data in Python. This practical guide quickly gets you up to speed on the details, best practices, and pitfalls of using HDF5 to archive and share numerical datasets ranging in size from gigabytes to terabytes. Through real-world examples and practical exercises, you’ll explore topics such...",True,2013-10-21T00:00:00,Oct 2013,1,97,150,Program_lang
PHP Cookbook,210843588,71.99,Eric A. Mann,O'Reilly Media,2023,,,"If you're a PHP developer looking for proven solutions to common problems, this cookbook provides code recipes to help you resolve numerous scenarios. By leveraging modern versions of PHP through version 8.1, these self-contained recipes provide fully realized solutions that can help you solve similar problems in your day-to-day work. Whether...",True,2023-05-16T00:00:00,May 2023,1,97,150,Program_lang
JavaScript Pocket Reference,888460,27.99,David Flanagan,O'Reilly Media,2012,Activate Your Web Pages, (3rd ed.),"JavaScript is the ubiquitous programming language of the Web, and for more than 15 years, JavaScript: The Definitive Guide has been the bible of JavaScript programmers around the world. Ideal for JavaScript developers at any level, this book is an all-new excerpt of The Definitive Guide , collecting the essential parts of that hefty volume into...",True,2012-04-09T00:00:00,Apr 2012,1,97,150,Program_lang
Designing for Scalability with Erlang/OTP,2591812,49.99,Francesco Cesarini,O'Reilly Media,2016,"Implement Robust, Fault-Tolerant Systems",,"If you need to build a scalable, fault tolerant system with requirements for high availability, discover why the Erlang/OTP platform stands out for the breadth, depth, and consistency of its features. This hands-on guide demonstrates how to use the Erlang programming language and its OTP framework of reusable libraries, tools, and design...",True,2016-05-16T00:00:00,May 2016,2,97,150,Program_lang
"C++ Programming Language, The",1436440,85.74230295,Bjarne Stroustrup,Pearson Education,2013,, (4th ed.),"The definitive book on C++ by the creator of C++, The C++ Programming Language teaches one of the most widely-used, general-purpose programming languages. At an advanced pace this book teaches how to work with compilers updated for the new standard. Students heading toward domains where mid-size to large applications are being developed -...",True,2013-06-10T00:00:00,Jun 2013,1,97,150,Program_lang
AVR Programming,1604137,31.99,Elliot Williams,"Make Community, LLC",2014,Learning to Write Software for Hardware,,"Atmel's AVR microcontrollers are the chips that power Arduino, and are the go-to chip for many hobbyist and hardware hacking projects. In this book you'll set aside the layers of abstraction provided by the Arduino environment and learn how to program AVR microcontrollers directly. In doing so, you'll get closer to the chip and you'll be able to...",True,2014-01-27T00:00:00,Jan 2014,1,97,150,Program_lang
C Programming Language,1436188,73.49145795,Brian W. Kernighan,Pearson Education,1988,, (2nd ed.),"The full text downloaded to your computer With eBooks you can: search for key concepts, words and phrases make highlights and notes as you study share your notes with friends eBooks are downloaded to your computer and accessible either offline through the Bookshelf (available as a free download), available online and also via the iPad and...",True,1988-03-22T00:00:00,Mar 1988,2,97,150,Program_lang
Understanding and Using C Pointers,1183950,35.99,Richard M Reese,O'Reilly Media,2013,Core Techniques for Memory Management,,"Improve your programming through a solid understanding of C pointers and memory management. With this practical book, you’ll learn how pointers provide the mechanism to dynamically manipulate memory, enhance support for data structures, and enable access to hardware. Author Richard Reese shows you how to use pointers with arrays, strings,...",True,2013-05-01T00:00:00,May 2013,1,97,150,Program_lang
Head First SQL,540887,67.99,Lynn Beighley,O'Reilly Media,2007,Your Brain on SQL -- A Learner's Guide,,"Is your data dragging you down? Are your tables all tangled up? Well we've got the tools to teach you just how to wrangle your databases into submission. Using the latest research in neurobiology, cognitive science, and learning theory to craft a multi-sensory SQL learning experience, Head First SQL has a visually rich format designed for the...",True,2008-12-19T00:00:00,Aug 2007,1,97,150,Program_lang
DevOps Tools for Java Developers,210544866,71.99,Stephen Chin,O'Reilly Media,2022,,,"With the rise of DevOps, low-cost cloud computing, and container technologies, the way Java developers approach development today has changed dramatically. This practical guide helps you take advantage of microservices, serverless, and cloud native technologies using the latest DevOps techniques to simplify your build process and create...",True,2022-04-15T00:00:00,Apr 2022,4,97,150,Program_lang
Practical Foundations for Programming Languages,2549734,96.73443825,Robert Harper,Cambridge University Press,2016,, (2nd ed.),This book unifies a broad range of programming language concepts under the framework of type systems and structural operational semantics.,True,2016-04-04T00:00:00,Apr 2016,1,97,150,Program_lang
Using Asyncio in Python,209936503,53.99,Caleb Hattingh,O'Reilly Media,2020,Understanding Python's Asynchronous Programming Features,,"If you’re among the Python developers put off by asyncio’s complexity, it’s time to take another look. Asyncio is complicated because it aims to solve problems in concurrent network programming for both framework and end-user developers. The features you need to consider are a small subset of the whole asyncio API, but picking out the right...",True,2020-01-30T00:00:00,Jan 2020,1,97,150,Program_lang
Learning JavaScript,2529248,56.99,Ethan Brown,O'Reilly Media,2016,JavaScript Essentials for Modern Application Development, (3rd ed.),"This is an exciting time to learn JavaScript. Now that the latest JavaScript specification—ECMAScript 6.0 (ES6)—has been finalized, learning how to develop high-quality applications with this language is easier and more satisfying than ever. This practical book takes programmers (amateurs and pros alike) on a no-nonsense tour of ES6, along with...",True,2016-02-17T00:00:00,Feb 2016,1,97,150,Program_lang
The Art of SQL,443207,62.99,Stephane Faroult,O'Reilly Media,2006,,,"For all the buzz about trendy IT techniques, data processing is still at the core of our systems, especially now that enterprises all over the world are confronted with exploding volumes of data. Database performance has become a major headache, and most IT departments believe that developers should provide simple SQL code to solve immediate...",True,2007-04-05T00:00:00,Mar 2006,2,97,150,Program_lang
Java Generics and Collections,443222,27.99,Maurice Naftalin,O'Reilly Media,2006,Speed Up the Java Development Process,,This comprehensive guide shows you how to master the most importantchanges to Java since it was first released. Generics and the greatlyexpanded collection libraries have tremendously increased the power ofJava 5 and Java 6. But they have also confused many developers whohaven't known how to take advantage of these new features. Java Generics...,True,2008-03-06T00:00:00,Oct 2006,2,97,150,Program_lang
Pro JPA 2 in Java EE 8,95950561,92.07263814,Mike Keith,Apress,2018,An In-Depth Guide to Java Persistence APIs, (3rd ed.),"&lt;div&gt;&lt;div&gt;Learn to use the Java Persistence API (JPA) and other related APIs as found in the Java EE 8 platform from the perspective of one of the specification creators. A one-of-a-kind resource, this in-depth book provides both...",True,2018-02-01T00:00:00,Feb 2018,3,97,150,Program_lang
